participant,nlld,alpha,tau,gamma,eta,forget_MF,forget_MB
32,1588.1181179494838,6.986285484333675e-05,84.36477600394596,0.999642417735382,0.10803638892109002,0.0,0.04985319413068437
4,1925.0510640286896,0.47912355871035817,0.054328063581335684,1.0,0.10167215089381043,0.0005317489241994059,0.027242197814594655
2,1481.1443425012897,0.22009383339745464,0.25419875392888464,1.0,0.8931780021228363,0.0006839015217125191,0.019478264257532935
29,1233.9351816834258,0.6943766847850728,0.33012568550895444,1.0,0.21355860195986798,0.0122971498032966,0.0037236109871185753
11,860.2600871291696,0.2328735512875818,0.31781972793830776,1.0,0.1398468750631895,0.00314089495552787,0.0026048878905443607
17,1005.18195133787,0.328729130060039,0.28022119122084727,1.0,0.2408029337117722,0.010567241364920134,0.01435899741321457
13,900.9590456028807,0.3332376334931774,0.3756435533749082,0.999348369010329,0.20378050955926075,0.030060084551048024,0.007246107981929162
18,1884.1249008163181,0.26423986820586043,0.12520068144497026,1.0,0.9617369572466915,0.0005553196025781441,0.015236588017172065
31,905.6315675446451,0.5526334301095263,0.27457246954285225,1.0,0.1607750426006842,0.007787155327386247,0.006955735921937312
14,1591.9147825887285,0.5000329150472461,0.32035107775925636,1.0,0.8747137976064747,0.0020442977139208075,0.031071916271494665
5,781.9824804209518,0.3987890376178508,0.2980806952062009,1.0,0.2489325864730958,0.008050732842961561,0.01223821342495246
27,687.9495340072941,0.31848855354644334,0.4057541700637913,1.0,0.39471702190697655,0.0072173965341553814,0.03845920951213977
21,1069.814436991297,0.404762477925602,0.22469203720136235,1.0,0.6406941606187255,0.008728763573433187,0.019067938338492987
12,690.8722001586805,0.25141800852706625,0.316354982145733,1.0,0.8962655698477011,0.004759604495141559,0.04372285866303602
8,928.0140306387011,0.43318502970937683,0.3274586366411793,1.0,0.20420379597930294,0.0013138738516550745,0.014679148305694795
24,946.1524262336036,0.25199781056658327,0.23645303920763272,1.0,0.3164886822429078,0.0050478596565923664,0.005317356265434859
22,898.2387219289714,0.28787993872164125,0.2762231756511333,1.0,0.527504113416455,0.006157954209159175,0.02017124987227001
20,1112.9450089035463,0.11123119569340201,0.2482016412880783,1.0,0.1085109073236632,0.0,0.0007451046719382459
3,651.3399550610216,0.31592962562578836,0.4356133961981723,1.0,0.23767268124195062,0.029128640146180936,0.04707693358805899
1,1633.4037683469749,0.13741568607555585,0.20074627825621424,1.0,0.4793654840427106,0.0,0.04452449316852435
33,666.3377556731144,0.1315235373722635,0.49932435316259743,1.0,0.6408544764961437,0.010054421489743011,0.04942598404748557
7,1210.9559971958558,0.5416358386766439,0.3138069451472314,1.0,0.09089843773391137,0.006960784207465402,0.0027738211985656293
16,438.6997702280076,0.23637910325641653,0.4226732634485086,1.0,0.17255665150875432,0.0031955010516153447,0.003558762147587347
28,783.163409512437,0.29370328453793937,0.31284934689516003,1.0,0.506804048201918,0.0028482312661919345,0.02696342224185795
35,744.4278851909733,0.6309617008524381,0.24546652357900006,1.0,0.34263847882211207,0.010756623683826634,0.00911620266960238
9,374.988354781119,0.5628843278864254,0.434611839156365,1.0,0.19259851122648364,0.010320790107472956,0.0096434499832204
25,752.9632892575562,0.22859706018410875,0.4629936335118295,1.0,0.8277402191065567,0.014149362202198739,0.048953009034509075
0,952.4554164134224,0.127644030215289,0.39767177787703556,1.0,0.3510781038337101,0.004291446972335038,0.011546203396446603
6,1048.7927280558108,0.1993930390484967,0.22946662916261662,1.0,0.75084373868939,0.0015355825799219678,0.029664366755007124
23,1042.3389423261497,0.3224013582112992,0.2277138850887311,1.0,0.49378366863969636,0.005143487991079847,0.048847574077828304
30,1361.8647726343506,0.5196923271709156,0.2188880279587758,1.0,0.6861898852619402,0.004217267411416721,0.01997276420498752
26,1824.3819013996228,0.6007750751384154,0.17107271454871018,1.0,0.42936368704697825,0.003375971951756996,0.03027507754484874
10,937.2624719384745,0.3449377947817557,0.3055528597901873,1.0,0.12146985054982828,0.005354381883163623,0.0015274220883204682
15,1329.0596515999762,0.5119119174019454,0.25298188166181723,1.0,0.09122482116751474,0.009528106795074888,0.0037859403768074895
19,497.5115788705896,0.3856727629846468,0.32203152182369993,1.0,0.57586511040122,0.007876511445550178,0.04910137006642498
34,1172.8773769884551,0.31059937020101475,0.2626500121670991,1.0,0.36774967609099185,0.003163546785264647,0.02826904848572248
