participant,nlld,eta,tau,gamma,forget_MB
32,1605.7761576889561,1.006807775768854e-05,100.0,0.0,0.0
4,1927.9189121486293,1.0,0.012028588180659853,1.0,0.05
2,1636.9161126698534,0.25231091313883525,0.014092275167255863,1.0,0.0
29,1535.5361655568515,0.520854326816171,0.07594779332798787,0.09259230236761708,0.0
11,947.5169007273544,0.006419423536635662,0.713894620392302,1.0,0.0
17,1117.3876985260615,0.08358759063056044,0.18550931144888902,1.0,0.005524966154608381
13,971.7202512904089,0.15748532992427736,0.29228816577499594,1.0,0.016780507775915818
18,1907.9241466578835,1.0,0.004285977971336895,1.0,0.016427706980166767
31,1139.6773020803048,0.03309717794150825,0.13469756612905714,1.0,0.0005119799008672858
14,1867.3467335176636,0.6841894937695899,0.005494793106967524,0.0,0.0
5,872.0949891106869,0.019986531951822883,0.4243263082868418,1.0,0.001084375767313623
27,933.5571168466613,0.26926333285150017,0.11661245813276921,1.0,0.0
21,1149.1649726452742,0.40966694482102256,0.09856110516441853,0.25054821645670966,0.0
12,766.7984742679384,0.043989325259119756,0.24300350762283052,1.0,0.0010977282673854999
8,1278.382641290713,0.3093543438931339,0.04757232086415579,0.0,0.0
24,987.9715828386177,0.19394042641280787,0.12656945892264912,0.5424207979880261,0.0
22,954.821307464326,0.017133913154279513,0.2947609804854808,1.0,0.0007258191475120614
20,1189.205811872564,0.009334727790144654,0.2927397591230206,1.0,-3.8410697899301985e-19
3,753.2511794232291,0.09537568581666092,0.17394728923402325,0.19224025351860438,0.0
1,1687.3574905298829,0.3721809129865222,0.04974137096616716,0.6108876722554298,0.0
33,732.656653663867,0.24384859932519137,0.4793632469112398,1.0,0.03905933642265943
7,1446.5390326132667,1.0,0.07572706506996715,0.20583063299028567,0.0
16,558.9158461919901,0.04193663606055916,0.40143167143542163,1.0,0.000422044816657066
28,937.1993941994833,0.028596097458661932,0.2099617222821899,1.0,0.0
35,953.6645999051406,0.03268722567723098,0.1437645694814028,0.7126154357161869,0.0
9,695.7537709027858,0.09802601686980177,0.2957936127768221,1.0,0.003613757605170294
25,854.9032490365131,0.05055321441260331,0.35497628644724805,1.0,0.004091123857333376
0,986.4816823889568,0.003780300224850075,0.9499846965410549,1.0,0.0
6,1130.3646594315376,0.11993446351916578,0.1258435616542083,0.18434456856920028,0.0
23,1113.0995676031098,0.040745415967425994,0.12639062881523,1.0,0.0006056493780743652
30,1480.8659829950946,0.9430679934990263,0.04106807351957834,0.5089346981258951,0.0
26,1922.2382669103247,1.0,0.0026705191265354576,1.0,0.0
10,1058.3399806010655,0.17513186356689445,0.13182290167157054,0.39781348102155406,0.0
15,1500.53417088142,0.18992371533733907,0.06966041198849701,0.4796959197684552,0.0
19,685.916206549616,0.09696742859703134,0.233668225060079,1.0,0.002563755371941445
34,1262.085787236546,0.022323832286724125,0.15123441272915925,1.0,0.0
