participant,nlld,alpha,tau,gamma,forget_MF,alpha_attention
0,947.230471,0.04789491,0.610605131,1,0.0021005,0.003270486
1,1633.369229,0.012994597,0.206161957,1,0,0.114054634
2,1493.619512,0.029812882,0.206521892,1,0.001824399,1
3,640.8047827,0.024904003,0.816012114,1,0.05,0.035873555
4,1923.456277,0.052709192,0.046510131,1,0.001222649,0.737351744
5,784.9564506,0.02510215,0.316199312,1,0.0084045,0.205311175
6,1048.372439,0.015827914,0.228505307,1,0.001311404,0.167821559
7,1207.09624,0.048177477,0.311817454,1,0.006683397,0.088639587
8,925.1057946,0.033119038,0.302534947,1,0.001523519,0.769694108
9,383.5292765,0.036485445,0.414179974,1,0.00940574,0.552856666
10,940.0084627,0.025388464,0.277421238,1,0.005924471,0.87726217
11,843.6811946,0.024218332,0.402285636,1,0.002807595,0.02757778
12,686.8554731,0.022259313,0.314602967,1,0.00599299,0.177724172
13,904.8694114,0.024590693,0.392534788,1,0.029201556,0.07701102
14,1591.481865,0.039991088,0.305316982,1,0.001794663,0.669695234
15,1329.454311,0.044982202,0.278539979,1,0.013208333,0.082212173
16,443.9609129,0.013970048,0.41939492,1,0.002901924,0.676607065
17,1003.410668,0.028371171,0.290063599,1,0.008534767,0.051714002
18,1892.557086,0.110070757,0.053014209,1,0.006676352,0.991217086
19,496.1311256,0.025231351,0.308036519,1,0.007909213,0.859703671
20,1109.843637,0.017044397,0.273011644,1,0.000165924,0.037573757
21,1065.303666,0.030822161,0.239863882,1,0.007547036,0.114872294
22,897.65267,0.022841972,0.250774244,1,0.004617742,0.100181559
23,1039.988459,0.025242633,0.252628225,1,0.005472649,0.038793406
24,945.3178482,0.019873502,0.193460669,0.899083749,0.002607553,0.837755833
25,750.5547741,0.01450549,0.470835216,1,0.012969875,0.373546634
26,1813.063979,0.042279189,0.152995217,1,0.002370594,0.977446443
27,693.1575496,0.020925149,0.381273042,1,0.00718852,0.756859315
28,780.737594,0.023025599,0.318167292,1,0.003566059,0.235825879
29,1255.576213,0.041162007,0.304421589,1,0.003762932,0.602252408
30,1337.548404,0.078353334,0.270002945,1,0.003090946,0.014287232
31,900.8166442,0.037140798,0.323386236,1,0.008479774,0.068570055
32,1586.627569,0.003027388,79.26237798,0,0,4.50E-05
33,670.1597807,0.008873623,0.457360499,0.932770876,0.011069402,1
34,1171.712733,0.027176396,0.276560659,1,0.003338706,0.04123865
35,744.7577312,0.042855025,0.244214602,1,0.009033603,0.64727942
