participant,nlld,alpha,tau,gamma,forget_MF
32,1588.1175509647128,5.8929420928950615e-05,100.0,0.7614140841686132,0.0
4,1926.6592415246762,0.15489807351682705,0.18850458930034156,0.0,0.03180808417244239
2,1482.8104975963981,0.2191697188863274,0.25860576969541654,1.0,0.000644312366716034
29,1243.5755393745017,0.6950010463335505,0.3255344906866321,1.0,0.012000495520025422
11,861.2135456359168,0.2147374937380952,0.33283958539229214,1.0,0.0026720136238958356
17,1006.0740217176605,0.32245452924705803,0.2849441280603363,1.0,0.010646382686901028
13,902.4947069985636,0.3293982981054674,0.3872085612294359,1.0,0.031074211163405082
18,1885.4815735294171,0.26167019981281275,0.12377944374471986,1.0,0.0005761190786105707
31,906.6412978150205,0.550296765712907,0.27462983343181635,1.0,0.007736570504980213
14,1594.6089688021686,0.4562061876582452,0.32461361133674993,1.0,0.0017227019314075035
5,782.9918321733279,0.39385602331106667,0.29779592699619567,1.0,0.007975200848657119
27,687.9946587571902,0.3203537130968605,0.4052517885590424,1.0,0.007241711738730944
21,1069.870439888293,0.396074978122323,0.23557365063138228,1.0,0.008753005828056406
12,691.0990983848826,0.2509697520851036,0.3165116736722597,1.0,0.004764375182270649
8,928.3819978988636,0.422731898672392,0.3313673023301673,1.0,0.0012467480019149543
24,948.9987149791692,0.20712108581337305,0.2180316195501845,1.0,0.002016826338380163
22,899.8264983058225,0.29703007853607255,0.26577006988237867,1.0,0.005584851038317129
20,1116.3837178755891,0.11387222816320616,0.270879369910545,1.0,0.0
3,651.3399550610195,0.3159297282019695,0.43561324096943826,1.0,0.029128635602014355
1,1633.844914873681,0.13675274410226385,0.20143589047705482,1.0,0.0
33,668.137505839564,0.12341838162406693,0.5341409323170181,1.0,0.010658589124799542
7,1213.6114280132208,0.5325478964279742,0.3143621822414529,1.0,0.006846085570754374
16,444.54769375750215,0.21678206361711058,0.4297294519836733,1.0,0.0028862629382343285
28,783.8424564926233,0.2949994400129283,0.31826794451199375,1.0,0.0031641417927418558
35,750.4038852503423,0.642465574228713,0.2485842035401224,1.0,0.01140157758147945
9,375.19589654284266,0.5615122116948281,0.4344226829424184,1.0,0.01028513891625136
25,753.3699002176986,0.22808964519321423,0.4591484825931501,1.0,0.013790794175247
0,954.1495483989191,0.09058303399422404,0.47317690478945307,1.0,0.0037739026123985134
6,1051.9117465802194,0.18420370776211714,0.227812565945853,1.0,0.0011515486610234396
23,1042.5225427728587,0.2884922061339227,0.23337298158151493,1.0,0.004580559067974096
30,1363.796774755292,0.45778534459739256,0.2439913717764151,1.0,0.003885626286604
26,1824.6996485288978,0.6115364920693088,0.17000652283150025,1.0,0.0034744027672251308
10,939.7009003427955,0.36279878133227855,0.30480023186412164,1.0,0.005617973492870029
15,1330.841002641782,0.5339614768566001,0.24817985420979533,1.0,0.010051021831573827
19,498.20581743754906,0.39109587390500844,0.3205375445027631,1.0,0.007985835153459207
34,1173.2818346908068,0.3130518439055145,0.2626599845066287,1.0,0.003176793488437825
