participant,nlld,alpha,tau,gamma,forget_MF
32,1603.4016001699501,0.03809404772670442,0.31582058759958986,1.0,0.0
4,1918.180770002848,0.09276857715785519,0.19119220578099771,1.0,0.0
2,1433.1553808833316,0.05015575276884454,0.4825902845548981,1.0,0.0
29,1280.7784871907772,0.7563953898692843,0.27795119696594645,1.0,0.014617150034536994
11,918.4580332653474,0.3215565192514071,0.28999057068988676,1.0,0.015880435728177912
17,1063.5143995362116,0.26768611964442407,0.23474990872546028,1.0,0.01238988690137315
13,928.9296616511361,0.44948891056192386,0.2643073579698363,1.0,0.03366752008846575
18,1892.0487225667816,0.11867931788620084,0.20988409485880116,1.0,0.0
31,964.8952139935384,0.6344105451252908,0.24407556143304618,1.0,0.01633695564104941
14,1621.6917878589015,0.19740651343418084,0.39435842053620324,1.0,0.0012626828963611136
5,856.3354923386178,0.41819778829693605,0.2392547252078734,1.0,0.019461298932469832
27,772.2302573276587,0.4858904191156017,0.2862025314356929,1.0,0.0100459089611773
21,1087.6329041567383,0.4049039763378974,0.21443098251570344,1.0,0.01012302986046945
12,867.1927730295719,0.35108474963013564,0.1572145483124096,1.0,0.007223893214391834
8,948.6923564172095,0.07801692302675571,0.48259015733491656,1.0,8.803085576960769e-05
24,1004.8267217738597,0.184143768477987,0.21000843228380256,1.0,0.0024259741848500047
22,1020.0816508764013,0.30753826521321626,0.14757772309555126,1.0,0.009633142884604725
20,1234.5186831542835,0.07891536487643837,0.19985990332959858,1.0,0.0
3,673.5175515842416,0.40386790011090784,0.300026993929964,1.0,0.028378020614883905
1,1660.4830819869635,0.1560260472419172,0.19303521304885154,1.0,0.0021609632546999557
33,719.0439707036634,0.4635972879176684,0.2594011563464666,1.0,0.028452764244518144
7,1235.0653733283586,0.4868907781220928,0.2924880752452777,1.0,0.008452191117578564
16,701.9097854484853,0.09597067194249662,0.20052157234149384,1.0,0.0
28,960.4713884389633,0.35955734551942536,0.2126611375938228,1.0,0.0060040637520655735
35,783.5098509267049,0.6874685746671658,0.2287395252943458,1.0,0.014451147987155147
9,510.70510869050594,0.6796755538521578,0.28652781649978026,1.0,0.016372946970727203
25,807.8208599925308,0.36499676724913765,0.328503422401601,1.0,0.031426489150716885
0,1062.1219678368648,0.11171883074804671,0.21072203822554583,1.0,0.00042370595591307046
6,1140.256784787356,0.0672321196727546,0.176485428277406,1.0,0.0
23,1070.6263941641819,0.4249892391367837,0.2074917420247198,1.0,0.01868382778675966
30,1356.8487821414683,0.042476197125436974,0.48889236610478143,1.0,0.0
26,1867.3988714649672,0.6646779571107861,0.12899238937890234,1.0,0.006898331493540432
10,1030.4085923927848,0.0802766121764649,0.3244479460738233,1.0,0.0
15,1366.4807448600761,0.701708916722413,0.1960381948116452,1.0,0.02057682411546748
19,551.0539316832071,0.46786295006132733,0.28627362685562685,1.0,0.01743758550282532
34,1294.6347162418024,0.27234024538467566,0.1643160564310652,1.0,0.003965434855328942
