participant,nlld,alpha,tau,gamma,eta,I,k,forget_MF,forget_MB
32,1585.5856613072087,8.872671471327816e-05,66.43641211879199,1.0,1.0,0.012168475568426748,0.1,0.0,0.05
4,1921.1588959897601,0.001452328377183801,14.648933255343257,0.033292631785435185,0.13678693296306885,1.0,0.1,0.031009289311242142,0.05
2,1482.810497596739,0.21916968888710697,0.2586058617511937,1.0,0.0,0.0,0.1,0.000644307515721324,0.05
29,1230.1883817135667,0.6998313528296164,26.79688795655193,1.0,0.0,0.9928974081197485,8.611016291058207e-06,0.01393510393247622,0.05
11,843.8014564239437,0.24759013395931614,0.44884464037367816,1.0,0.001412797484997954,1.0,0.0033214814855365093,0.0032077652069648246,0.0
17,998.1924932633904,0.3175211988474567,0.5207925363171717,0.9999961155214125,0.000905566431384535,0.7478346785879151,0.0012034308535755292,0.012652028014883283,0.0
13,901.7816407914559,0.34281000033809883,4.678734530670714,1.0,0.0,0.9326275403142588,3.324545043369207e-05,0.03268743783516731,0.05
18,1885.1620029201902,0.2821086419125506,0.12699742541294037,1.0,1.0,1.0,0.1,0.0006755324896998376,0.0
31,885.1825293334283,0.5058295884705806,0.3457857952329096,1.0,0.0,1.0,0.006720156141706623,0.00783096621209209,0.05
14,1573.7455901086307,0.5865230230781682,0.47417650115123744,1.0,0.0,1.0,0.0016910788337505507,0.002889537295083376,0.05
5,770.0596256833898,0.4376349233863235,83.86215900826383,1.0,1.8663423929835467e-05,0.9985558002546612,3.487161667253437e-06,0.010701937279559596,0.0
27,685.6564502867363,0.30690626040404256,99.99956986807686,1.0,0.0,0.9966247607308106,2.096176047828064e-06,0.007918809600249672,0.0
21,1064.1599205545906,0.40372523878842703,22.10598499632557,1.0,0.0,0.9941790745457053,8.421452161022284e-06,0.00889919082395804,0.05
12,682.4597357248401,0.30408313904212547,0.3525047411925482,0.9997476614594439,0.14800217644977146,1.0,0.006608736846575273,0.005737582060176554,0.05
8,917.4326674310582,0.47560081757202,27.996575988599137,1.0,0.0,0.9940781817201925,1.0159157221565755e-05,0.0012211296664339595,0.05
24,945.6740907483979,0.1628586465369292,0.20246898290472165,1.0,0.6802907267902932,1.0,0.021361093774589068,0.0006934928321997515,0.0014314188023791105
22,894.1055867180725,0.29368994026424466,0.26038116601105066,1.0,1.0,0.5723162222881343,0.006092558461599034,0.004939875281074111,0.05
20,1101.1355444033784,0.21414663968870795,25.38950131583561,1.0,0.0,1.0,1.553086934355606e-05,0.0011290840903664156,0.05
3,640.1672476883992,0.28521229953420335,3.6868773658784795,1.0,0.0,0.9464904976373626,0.00044364473677577227,0.05,0.05
1,1630.510681199495,0.13504546121521943,0.19957443038519995,1.0,1.0,0.29026440893227207,0.006570105440153222,1.8554576326591442e-09,0.007522092591334279
33,652.9645068879516,0.09535015263662718,0.6331355571396232,1.0,0.6183904692519485,0.49094589798917176,0.0031491305925642732,0.009546234823394884,0.05
7,1199.3100718343612,0.5571592746594473,0.3566790796377632,1.0,0.0,1.0,0.009112632690782786,0.007807367932146452,0.0
16,441.9879482093615,0.25715685546434874,6.426633578766415,0.9999976960089246,0.00016623910032320037,0.9591136848061939,5.953920182987729e-05,0.0036410869581489213,0.0
28,779.5628984015165,0.3270043726827286,0.35149663646539714,1.0,0.0,1.0,0.005202061961641772,0.0034420505669783634,0.05
35,742.9710438784789,0.697934909677887,0.2614703771477187,1.0,0.023077765172698352,1.0,0.014366747317427993,0.013593559581465148,0.0
9,374.31562149750306,0.5619637440212387,2.2575533211825927,1.0,0.002585889233977166,0.8087654050991319,0.0,0.009884201467993865,0.012883977616238306
25,744.3320216272444,0.2276513560315776,0.5424887121077204,1.0,0.0,1.0,0.009138470810565607,0.015227186920383284,0.05
0,942.7853850213498,0.10386268888231022,1.6206969533852311,0.7857427018079739,0.0053138428959282735,1.0,0.0008126202873971568,0.006314783173140597,0.049788140350164
6,1049.6724329920817,0.2130604661837904,0.23834461393978676,1.0,0.10260254994828197,1.0,0.008207793932345287,0.0014150873151894039,0.04850921344922999
23,1031.626261268727,0.2792278978990988,0.31074428482494554,1.0,0.0,1.0,0.0037497777268469114,0.005654410390722522,0.05
30,1315.8356583083487,0.4267170800830395,84.55728153578943,1.0,0.0,1.0,4.271962918904507e-06,0.0032246753108172354,0.05
26,1803.4087348944845,0.30777148836863694,32.23628939422165,1.0,0.0,1.0,7.94330237413676e-06,0.0010241396619393472,0.05
10,925.8284762420616,0.3738954731311327,34.60063789980469,1.0,0.0,0.9965818529717693,8.937466573372513e-06,0.004842239325276314,0.05
